"setting_id","truth_type","reader_miss","z_miss","replicate","method","auc","brier","x_cor","x_rmse","cx_mae"
"S1","correct",0.1,0,17,"Bayesian joint model",0.916835512985817,0.139520604708988,0.722282285004026,0.658070867319364,0.0894044108070052
"S1","correct",0.1,0,17,"Averaged-reader logistic",0.733698655369313,0.202395876701916,NA,NA,NA
"S1","correct",0.1,0,17,"Reader-1 logistic",0.726745256953398,0.205968813763867,NA,NA,NA
"S1","correct",0.1,0,18,"Bayesian joint model",0.840297335980424,0.174585019835176,0.590729830212479,0.784626236000181,0.100199454838976
"S1","correct",0.1,0,18,"Averaged-reader logistic",0.690613601735999,0.216035302013792,NA,NA,NA
"S1","correct",0.1,0,18,"Reader-1 logistic",0.68447296735768,0.216090534709014,NA,NA,NA
"S1","correct",0.1,0,19,"Bayesian joint model",0.992817059483728,0.0878618361960848,0.563428357705257,0.830880428012706,0.116524791386859
"S1","correct",0.1,0,19,"Averaged-reader logistic",0.732121212121212,0.20961953078472,NA,NA,NA
"S1","correct",0.1,0,19,"Reader-1 logistic",0.710347923681257,0.215072562708506,NA,NA,NA
"S1","correct",0.1,0,20,"Bayesian joint model",0.989251756924348,0.0962873711574646,0.610353402522805,0.763703941554997,0.229735760070692
"S1","correct",0.1,0,20,"Averaged-reader logistic",0.731982913049469,0.207705524575277,NA,NA,NA
"S1","correct",0.1,0,20,"Reader-1 logistic",0.730834596481558,0.205527735107197,NA,NA,NA
"S2","correct",0.3,0.2,1,"Bayesian joint model",0.976629876223244,0.149266856592354,0.597631623794811,0.809565920086673,0.0994529779813219
"S2","correct",0.3,0.2,1,"Averaged-reader logistic",0.622369185397024,0.236348162860443,NA,NA,NA
"S2","correct",0.3,0.2,1,"Reader-1 logistic",0.58411904017159,0.241868751678651,NA,NA,NA
"S2","correct",0.3,0.2,2,"Bayesian joint model",0.992854140395124,0.0968730348977477,0.611947828918389,0.788445583109591,0.112976281858145
"S2","correct",0.3,0.2,2,"Averaged-reader logistic",0.704497688104246,0.210060478055891,NA,NA,NA
"S2","correct",0.3,0.2,2,"Reader-1 logistic",0.694362710756153,0.212006244986693,NA,NA,NA
"S2","correct",0.3,0.2,3,"Bayesian joint model",0.917447526236881,0.170500238773375,0.592955610142007,0.807499537129253,0.11362834314962
"S2","correct",0.3,0.2,3,"Averaged-reader logistic",0.620970764617691,0.226624663186095,NA,NA,NA
"S2","correct",0.3,0.2,3,"Reader-1 logistic",0.622282608695652,0.226967688456338,NA,NA,NA
"S2","correct",0.3,0.2,4,"Bayesian joint model",0.989504179331307,0.108070538532751,0.479601976527163,0.901806966653487,0.22087516546946
"S2","correct",0.3,0.2,4,"Averaged-reader logistic",0.671969984802432,0.216393125393158,NA,NA,NA
"S2","correct",0.3,0.2,4,"Reader-1 logistic",0.668645516717325,0.215986826374297,NA,NA,NA
"S2","correct",0.3,0.2,5,"Bayesian joint model",0.88594955278974,0.164728106861873,0.558210779372969,0.825540921179578,0.250713325050738
"S2","correct",0.3,0.2,5,"Averaged-reader logistic",0.652075150253183,0.217914149739437,NA,NA,NA
"S2","correct",0.3,0.2,5,"Reader-1 logistic",0.653471203445175,0.216914259888054,NA,NA,NA
"S2","correct",0.3,0.2,6,"Bayesian joint model",0.92595321421993,0.148160026692869,0.548455725157612,0.844034619553732,0.118534353441197
"S2","correct",0.3,0.2,6,"Averaged-reader logistic",0.677818198563271,0.216708611099946,NA,NA,NA
"S2","correct",0.3,0.2,6,"Reader-1 logistic",0.6821928531958,0.216529264791433,NA,NA,NA
"S2","correct",0.3,0.2,7,"Bayesian joint model",0.843474285714285,0.188985358906964,0.633892655980212,0.758507542710402,0.10500696584891
"S2","correct",0.3,0.2,7,"Averaged-reader logistic",0.626971428571429,0.230840621906339,NA,NA,NA
"S2","correct",0.3,0.2,7,"Reader-1 logistic",0.628914285714286,0.228642834076163,NA,NA,NA
"S2","correct",0.3,0.2,8,"Bayesian joint model",0.907212243401758,0.161225364145406,0.586608640322787,0.815595697405508,0.0983515492338139
"S2","correct",0.3,0.2,8,"Averaged-reader logistic",0.648506231671555,0.224754729195787,NA,NA,NA
"S2","correct",0.3,0.2,8,"Reader-1 logistic",0.677785923753665,0.219133024477754,NA,NA,NA
"S2","correct",0.3,0.2,9,"Bayesian joint model",0.897859696364732,0.15351533642894,0.597631656165596,0.784318544513435,0.0615793507351696
"S2","correct",0.3,0.2,9,"Averaged-reader logistic",0.693021960165281,0.212790270507301,NA,NA,NA
"S2","correct",0.3,0.2,9,"Reader-1 logistic",0.701611031152792,0.210223922923579,NA,NA,NA
"S2","correct",0.3,0.2,10,"Bayesian joint model",0.859393993966953,0.180735509964578,0.69370980857956,0.746069164995412,0.0287090803428396
"S2","correct",0.3,0.2,10,"Averaged-reader logistic",0.640943676556661,0.230362758836696,NA,NA,NA
"S2","correct",0.3,0.2,10,"Reader-1 logistic",0.628652469497096,0.233444834467872,NA,NA,NA
"S2","correct",0.3,0.2,11,"Bayesian joint model",0.924111254374655,0.153505128814528,0.657321088659777,0.804843926091007,0.0758576290409403
"S2","correct",0.3,0.2,11,"Averaged-reader logistic",0.674617793332105,0.219990776611002,NA,NA,NA
"S2","correct",0.3,0.2,11,"Reader-1 logistic",0.665384969607663,0.220651738620399,NA,NA,NA
"S2","correct",0.3,0.2,12,"Bayesian joint model",0.97844105047495,0.122817634234996,0.541558179252634,0.829672350485476,0.20086477400137
"S2","correct",0.3,0.2,12,"Averaged-reader logistic",0.660132240640715,0.221299560146038,NA,NA,NA
"S2","correct",0.3,0.2,12,"Reader-1 logistic",0.669119016576644,0.220218854845079,NA,NA,NA
"S2","correct",0.3,0.2,13,"Bayesian joint model",0.953757496251874,0.151551811171887,0.566136176334439,0.79117012668455,0.131313120197659
"S2","correct",0.3,0.2,13,"Averaged-reader logistic",0.635916416791604,0.225398242014874,NA,NA,NA
"S2","correct",0.3,0.2,13,"Reader-1 logistic",0.642850449775112,0.223985610492678,NA,NA,NA
"S2","correct",0.3,0.2,14,"Bayesian joint model",0.997731481481482,0.0889887109505273,0.45785868908779,0.858049737702208,0.247027674879963
"S2","correct",0.3,0.2,14,"Averaged-reader logistic",0.696805555555556,0.213350786442883,NA,NA,NA
"S2","correct",0.3,0.2,14,"Reader-1 logistic",0.675787037037036,0.216648244054795,NA,NA,NA
"S2","correct",0.3,0.2,15,"Bayesian joint model",0.98819530568187,0.105607883108445,0.507903323289601,0.88863096519653,0.241690339548296
"S2","correct",0.3,0.2,15,"Averaged-reader logistic",0.689334435717239,0.216934843856757,NA,NA,NA
"S2","correct",0.3,0.2,15,"Reader-1 logistic",0.678103899683064,0.217522728655619,NA,NA,NA
"S2","correct",0.3,0.2,16,"Bayesian joint model",0.991051962209302,0.109914542646421,0.524082140948815,0.858618243089738,0.207548178888163
"S2","correct",0.3,0.2,16,"Averaged-reader logistic",0.677416424418605,0.222701120032733,NA,NA,NA
"S2","correct",0.3,0.2,16,"Reader-1 logistic",0.68095930232558,0.221176281803293,NA,NA,NA
"S2","correct",0.3,0.2,17,"Bayesian joint model",0.966728197739859,0.122354221445866,0.528954571666844,0.868305371372766,0.287757912700083
"S2","correct",0.3,0.2,17,"Averaged-reader logistic",0.691729323308271,0.219494045254773,NA,NA,NA
"S2","correct",0.3,0.2,17,"Reader-1 logistic",0.670321012111116,0.225109231443718,NA,NA,NA
"S2","correct",0.3,0.2,18,"Bayesian joint model",0.940102862864685,0.152028103723672,0.511996324382187,0.839589408681323,0.154713296237511
"S2","correct",0.3,0.2,18,"Averaged-reader logistic",0.642710846115333,0.227486927488522,NA,NA,NA
"S2","correct",0.3,0.2,18,"Reader-1 logistic",0.657548586773474,0.225115507918315,NA,NA,NA
"S2","correct",0.3,0.2,19,"Bayesian joint model",0.996898148148148,0.0919175637286051,0.486209246348519,0.872550980278554,0.168118655616994
"S2","correct",0.3,0.2,19,"Averaged-reader logistic",0.704560185185185,0.212639853800579,NA,NA,NA
"S2","correct",0.3,0.2,19,"Reader-1 logistic",0.688287037037037,0.21705470578211,NA,NA,NA
"S2","correct",0.3,0.2,20,"Bayesian joint model",0.924672067901233,0.126345039863004,0.580514389739698,0.83791241994662,0.177743621897475
"S2","correct",0.3,0.2,20,"Averaged-reader logistic",0.736545138888889,0.19137068596745,NA,NA,NA
"S2","correct",0.3,0.2,20,"Reader-1 logistic",0.72410300925926,0.197855028853477,NA,NA,NA
"S3","misspecified",0.1,0,1,"Bayesian joint model",0.967576943604341,0.131085918906614,0.634531333738721,0.797286943478595,0.0647524081214563
"S3","misspecified",0.1,0,1,"Averaged-reader logistic",0.686132360789895,0.22161974871389,NA,NA,NA
"S3","misspecified",0.1,0,1,"Reader-1 logistic",0.683374844333749,0.224303585515649,NA,NA,NA
"S3","misspecified",0.1,0,2,"Bayesian joint model",0.784735812133072,0.194808243835308,0.669572709047096,0.721557433447457,0.142534852057789
"S3","misspecified",0.1,0,2,"Averaged-reader logistic",0.696450809464509,0.220742114772846,NA,NA,NA
"S3","misspecified",0.1,0,2,"Reader-1 logistic",0.694716242661448,0.221770077196921,NA,NA,NA
"S3","misspecified",0.1,0,3,"Bayesian joint model",0.865351209300254,0.183079491190508,0.7033404272463,0.702176362686546,0.0682461764384603
"S3","misspecified",0.1,0,3,"Averaged-reader logistic",0.642955770344305,0.233366819522961,NA,NA,NA
"S3","misspecified",0.1,0,3,"Reader-1 logistic",0.64892432408356,0.233461727773247,NA,NA,NA
"S3","misspecified",0.1,0,4,"Bayesian joint model",0.979745370370369,0.119429190378442,0.676061250254852,0.723046627339912,0.107930033800344
"S3","misspecified",0.1,0,4,"Averaged-reader logistic",0.693287037037037,0.219609958525525,NA,NA,NA
"S3","misspecified",0.1,0,4,"Reader-1 logistic",0.690927706552707,0.21892559740546,NA,NA,NA
"S3","misspecified",0.1,0,5,"Bayesian joint model",0.916307391439619,0.15689816510966,0.562017741029114,0.845913074149615,0.174459193622137
"S3","misspecified",0.1,0,5,"Averaged-reader logistic",0.678874616649629,0.22663966086874,NA,NA,NA
"S3","misspecified",0.1,0,5,"Reader-1 logistic",0.684030401351171,0.225416534769192,NA,NA,NA
"S3","misspecified",0.1,0,6,"Bayesian joint model",0.944733448935128,0.14012846490589,0.654144677545093,0.739319995196106,0.123012824647593
"S3","misspecified",0.1,0,6,"Averaged-reader logistic",0.687386065537326,0.223074398377292,NA,NA,NA
"S3","misspecified",0.1,0,6,"Reader-1 logistic",0.675336801387222,0.226663529843185,NA,NA,NA
"S3","misspecified",0.1,0,7,"Bayesian joint model",0.977708565072301,0.142778218686427,0.641265185928738,0.790491123121604,0.154464282670227
"S3","misspecified",0.1,0,7,"Averaged-reader logistic",0.631457174638488,0.236286678684829,NA,NA,NA
"S3","misspecified",0.1,0,7,"Reader-1 logistic",0.650812013348166,0.233808635615783,NA,NA,NA
